,detected_regime
2021-12-29,Choppy/Neutral
2021-12-30,Choppy/Neutral
2021-12-31,Choppy/Neutral
2022-01-03,Choppy/Neutral
2022-01-04,Choppy/Neutral
2022-01-05,Choppy/Neutral
2022-01-06,Choppy/Neutral
2022-01-07,Choppy/Neutral
2022-01-10,Choppy/Neutral
2022-01-11,Choppy/Neutral
2022-01-12,Choppy/Neutral
2022-01-13,Choppy/Neutral
2022-01-14,Choppy/Neutral
2022-01-17,Choppy/Neutral
2022-01-18,Choppy/Neutral
2022-01-19,Choppy/Neutral
2022-01-20,Choppy/Neutral
2022-01-21,Choppy/Neutral
2022-01-24,Choppy/Neutral
2022-01-25,Choppy/Neutral
2022-01-26,Choppy/Neutral
2022-01-27,Choppy/Neutral
2022-01-28,Choppy/Neutral
2022-01-31,Choppy/Neutral
2022-02-01,Choppy/Neutral
2022-02-02,Choppy/Neutral
2022-02-03,Choppy/Neutral
2022-02-04,Choppy/Neutral
2022-02-07,Choppy/Neutral
2022-02-08,Choppy/Neutral
2022-02-09,Choppy/Neutral
2022-02-10,Choppy/Neutral
2022-02-11,Choppy/Neutral
2022-02-14,Choppy/Neutral
2022-02-15,Choppy/Neutral
2022-02-16,Choppy/Neutral
2022-02-17,Choppy/Neutral
2022-02-18,Choppy/Neutral
2022-02-21,Choppy/Neutral
2022-02-22,Choppy/Neutral
2022-02-23,Choppy/Neutral
2022-02-24,Choppy/Neutral
2022-02-25,Choppy/Neutral
2022-02-28,Choppy/Neutral
2022-03-01,Choppy/Neutral
2022-03-02,Choppy/Neutral
2022-03-03,Choppy/Neutral
2022-03-04,Choppy/Neutral
2022-03-07,Choppy/Neutral
2022-03-08,Choppy/Neutral
2022-03-09,Choppy/Neutral
2022-03-10,Choppy/Neutral
2022-03-11,Choppy/Neutral
2022-03-14,Choppy/Neutral
2022-03-15,Choppy/Neutral
2022-03-16,Choppy/Neutral
2022-03-17,Choppy/Neutral
2022-03-18,Choppy/Neutral
2022-03-21,Choppy/Neutral
2022-03-22,Choppy/Neutral
2022-03-23,Choppy/Neutral
2022-03-24,Choppy/Neutral
2022-03-25,Choppy/Neutral
2022-03-28,Choppy/Neutral
2022-03-29,Choppy/Neutral
2022-03-30,Choppy/Neutral
2022-03-31,Choppy/Neutral
2022-04-01,Choppy/Neutral
2022-04-04,Choppy/Neutral
2022-04-05,Choppy/Neutral
2022-04-06,Choppy/Neutral
2022-04-07,Choppy/Neutral
2022-04-08,Choppy/Neutral
2022-04-11,Choppy/Neutral
2022-04-12,Choppy/Neutral
2022-04-13,Choppy/Neutral
2022-04-14,Choppy/Neutral
2022-04-15,Choppy/Neutral
2022-04-18,Choppy/Neutral
2022-04-19,Choppy/Neutral
2022-04-20,Choppy/Neutral
2022-04-21,Choppy/Neutral
2022-04-22,Choppy/Neutral
2022-04-25,Choppy/Neutral
2022-04-26,Choppy/Neutral
2022-04-27,Choppy/Neutral
2022-04-28,Choppy/Neutral
2022-04-29,Calm Bull
2022-05-02,Calm Bull
2022-05-03,Calm Bull
2022-05-04,Choppy/Neutral
2022-05-05,Choppy/Neutral
2022-05-06,Choppy/Neutral
2022-05-09,Choppy/Neutral
2022-05-10,Choppy/Neutral
2022-05-11,Choppy/Neutral
2022-05-12,Choppy/Neutral
2022-05-13,Choppy/Neutral
2022-05-16,Choppy/Neutral
2022-05-17,Choppy/Neutral
2022-05-18,Choppy/Neutral
2022-05-19,Choppy/Neutral
2022-05-20,Choppy/Neutral
2022-05-23,Choppy/Neutral
2022-05-24,Choppy/Neutral
2022-05-25,Choppy/Neutral
2022-05-26,Choppy/Neutral
2022-05-27,Choppy/Neutral
2022-05-30,Choppy/Neutral
2022-05-31,Choppy/Neutral
2022-06-01,Choppy/Neutral
2022-06-02,Choppy/Neutral
2022-06-03,Choppy/Neutral
2022-06-06,Choppy/Neutral
2022-06-07,Choppy/Neutral
2022-06-08,Choppy/Neutral
2022-06-09,Choppy/Neutral
2022-06-10,Choppy/Neutral
2022-06-13,Choppy/Neutral
2022-06-14,Choppy/Neutral
2022-06-15,Choppy/Neutral
2022-06-16,Choppy/Neutral
2022-06-17,Choppy/Neutral
2022-06-20,Choppy/Neutral
2022-06-21,Choppy/Neutral
2022-06-22,Choppy/Neutral
2022-06-23,Choppy/Neutral
2022-06-24,Calm Bull
2022-06-27,Choppy/Neutral
2022-06-28,Choppy/Neutral
2022-06-29,Choppy/Neutral
2022-06-30,Choppy/Neutral
2022-07-01,Choppy/Neutral
2022-07-04,Choppy/Neutral
2022-07-05,Choppy/Neutral
2022-07-06,Choppy/Neutral
2022-07-07,Choppy/Neutral
2022-07-08,Choppy/Neutral
2022-07-11,Choppy/Neutral
2022-07-12,Choppy/Neutral
2022-07-13,Choppy/Neutral
2022-07-14,Choppy/Neutral
2022-07-15,Choppy/Neutral
2022-07-18,Choppy/Neutral
2022-07-19,Choppy/Neutral
2022-07-20,Choppy/Neutral
2022-07-21,Choppy/Neutral
2022-07-22,Choppy/Neutral
2022-07-25,Choppy/Neutral
2022-07-26,Choppy/Neutral
2022-07-27,Choppy/Neutral
2022-07-28,Choppy/Neutral
2022-07-29,Choppy/Neutral
2022-08-01,Choppy/Neutral
2022-08-02,Choppy/Neutral
2022-08-03,Choppy/Neutral
2022-08-04,Choppy/Neutral
2022-08-05,Choppy/Neutral
2022-08-08,Choppy/Neutral
2022-08-09,Choppy/Neutral
2022-08-10,Choppy/Neutral
2022-08-11,Choppy/Neutral
2022-08-12,Choppy/Neutral
2022-08-15,Choppy/Neutral
2022-08-16,Choppy/Neutral
2022-08-17,Choppy/Neutral
2022-08-18,Calm Bull
2022-08-19,Calm Bull
2022-08-22,Choppy/Neutral
2022-08-23,Choppy/Neutral
2022-08-24,Calm Bull
2022-08-25,Calm Bull
2022-08-26,Calm Bull
2022-08-29,Choppy/Neutral
2022-08-30,Calm Bull
2022-08-31,Choppy/Neutral
2022-09-01,Calm Bull
2022-09-02,Calm Bull
2022-09-05,Calm Bull
2022-09-06,Calm Bull
2022-09-07,Calm Bull
2022-09-08,Calm Bull
2022-09-09,Choppy/Neutral
2022-09-12,Choppy/Neutral
2022-09-13,Choppy/Neutral
2022-09-14,Choppy/Neutral
2022-09-15,Calm Bull
2022-09-16,Choppy/Neutral
2022-09-19,Choppy/Neutral
2022-09-20,Choppy/Neutral
2022-09-21,Choppy/Neutral
2022-09-22,Choppy/Neutral
2022-09-23,Choppy/Neutral
2022-09-26,Choppy/Neutral
2022-09-27,Choppy/Neutral
2022-09-28,Choppy/Neutral
2022-09-29,Choppy/Neutral
2022-09-30,Choppy/Neutral
2022-10-03,Choppy/Neutral
2022-10-04,Choppy/Neutral
2022-10-05,Choppy/Neutral
2022-10-06,Choppy/Neutral
2022-10-07,Choppy/Neutral
2022-10-10,Choppy/Neutral
2022-10-11,Choppy/Neutral
2022-10-12,Choppy/Neutral
2022-10-13,Choppy/Neutral
2022-10-14,Choppy/Neutral
2022-10-17,Choppy/Neutral
2022-10-18,Choppy/Neutral
2022-10-19,Choppy/Neutral
2022-10-20,Choppy/Neutral
2022-10-21,Choppy/Neutral
2022-10-24,Choppy/Neutral
2022-10-25,Choppy/Neutral
2022-10-26,Choppy/Neutral
2022-10-27,Choppy/Neutral
2022-10-28,Choppy/Neutral
2022-10-31,Choppy/Neutral
2022-11-01,Choppy/Neutral
2022-11-02,Choppy/Neutral
2022-11-03,Choppy/Neutral
2022-11-04,Choppy/Neutral
2022-11-07,Choppy/Neutral
2022-11-08,Choppy/Neutral
2022-11-09,Choppy/Neutral
2022-11-10,Choppy/Neutral
2022-11-11,Choppy/Neutral
2022-11-14,Choppy/Neutral
2022-11-15,Choppy/Neutral
2022-11-16,Choppy/Neutral
2022-11-17,Choppy/Neutral
2022-11-18,Choppy/Neutral
2022-11-21,Choppy/Neutral
2022-11-22,Choppy/Neutral
2022-11-23,Choppy/Neutral
2022-11-24,Choppy/Neutral
2022-11-25,Choppy/Neutral
2022-11-28,Choppy/Neutral
2022-11-29,Choppy/Neutral
2022-11-30,Choppy/Neutral
2022-12-01,Choppy/Neutral
2022-12-02,Choppy/Neutral
2022-12-05,Choppy/Neutral
2022-12-06,Choppy/Neutral
2022-12-07,Choppy/Neutral
2022-12-08,Choppy/Neutral
2022-12-09,Choppy/Neutral
2022-12-12,Choppy/Neutral
2022-12-13,Choppy/Neutral
2022-12-14,Choppy/Neutral
2022-12-15,Choppy/Neutral
2022-12-16,Choppy/Neutral
2022-12-19,Choppy/Neutral
2022-12-20,Choppy/Neutral
2022-12-21,Choppy/Neutral
2022-12-22,Choppy/Neutral
2022-12-23,Choppy/Neutral
2022-12-26,Choppy/Neutral
2022-12-27,Choppy/Neutral
2022-12-28,Choppy/Neutral
2022-12-29,Choppy/Neutral
2022-12-30,Choppy/Neutral
2023-01-02,Choppy/Neutral
2023-01-03,Choppy/Neutral
2023-01-04,Choppy/Neutral
2023-01-05,Choppy/Neutral
2023-01-06,Choppy/Neutral
2023-01-09,Choppy/Neutral
2023-01-10,Choppy/Neutral
2023-01-11,Choppy/Neutral
2023-01-12,Choppy/Neutral
2023-01-13,Choppy/Neutral
2023-01-16,Choppy/Neutral
2023-01-17,Choppy/Neutral
2023-01-18,Choppy/Neutral
2023-01-19,Choppy/Neutral
2023-01-20,Choppy/Neutral
2023-01-23,Choppy/Neutral
2023-01-24,Choppy/Neutral
2023-01-25,Choppy/Neutral
2023-01-26,Choppy/Neutral
2023-01-27,Choppy/Neutral
2023-01-30,Choppy/Neutral
2023-01-31,Choppy/Neutral
2023-02-01,Choppy/Neutral
2023-02-02,Choppy/Neutral
2023-02-03,Choppy/Neutral
2023-02-06,Choppy/Neutral
2023-02-07,Choppy/Neutral
2023-02-08,Choppy/Neutral
2023-02-09,Choppy/Neutral
2023-02-10,Choppy/Neutral
2023-02-13,Choppy/Neutral
2023-02-14,Calm Bull
2023-02-15,Calm Bull
2023-02-16,Calm Bull
2023-02-17,Calm Bull
2023-02-20,Calm Bull
2023-02-21,Calm Bull
2023-02-22,Calm Bull
2023-02-23,Calm Bull
2023-02-24,Calm Bull
2023-02-27,Calm Bull
2023-02-28,Calm Bull
2023-03-01,Calm Bull
2023-03-02,Calm Bull
2023-03-03,Calm Bull
2023-03-06,Calm Bull
2023-03-07,Calm Bull
2023-03-08,Calm Bull
2023-03-09,Calm Bull
2023-03-10,Calm Bull
2023-03-13,Calm Bull
2023-03-14,Calm Bull
2023-03-15,Calm Bull
2023-03-16,Calm Bull
2023-03-17,Calm Bull
2023-03-20,Calm Bull
2023-03-21,Calm Bull
2023-03-22,Calm Bull
2023-03-23,Calm Bull
2023-03-24,Calm Bull
2023-03-27,Calm Bull
2023-03-28,Calm Bull
2023-03-29,Calm Bull
2023-03-30,Calm Bull
2023-03-31,Calm Bull
2023-04-03,Calm Bull
2023-04-04,Calm Bull
2023-04-05,Calm Bull
2023-04-06,Calm Bull
2023-04-07,Calm Bull
2023-04-10,Calm Bull
2023-04-11,Calm Bull
2023-04-12,Calm Bull
2023-04-13,Calm Bull
2023-04-14,Calm Bull
2023-04-17,Calm Bull
2023-04-18,Calm Bull
2023-04-19,Calm Bull
2023-04-20,Calm Bull
2023-04-21,Calm Bull
2023-04-24,Calm Bull
2023-04-25,Calm Bull
2023-04-26,Calm Bull
2023-04-27,Calm Bull
2023-04-28,Calm Bull
2023-05-01,Calm Bull
2023-05-02,Calm Bull
2023-05-03,Calm Bull
2023-05-04,Calm Bull
2023-05-05,Calm Bull
2023-05-08,Calm Bull
2023-05-09,Calm Bull
2023-05-10,Calm Bull
2023-05-11,Calm Bull
2023-05-12,Calm Bull
2023-05-15,Calm Bull
2023-05-16,Calm Bull
2023-05-17,Calm Bull
2023-05-18,Calm Bull
2023-05-19,Calm Bull
2023-05-22,Calm Bull
2023-05-23,Calm Bull
2023-05-24,Calm Bull
2023-05-25,Calm Bull
2023-05-26,Calm Bull
2023-05-29,Calm Bull
2023-05-30,Choppy/Neutral
2023-05-31,Choppy/Neutral
2023-06-01,Choppy/Neutral
2023-06-02,Calm Bull
2023-06-05,Calm Bull
2023-06-06,Calm Bull
2023-06-07,Crisis/Bear
2023-06-08,Crisis/Bear
2023-06-09,Crisis/Bear
2023-06-12,Crisis/Bear
2023-06-13,Crisis/Bear
2023-06-14,Crisis/Bear
2023-06-15,Crisis/Bear
2023-06-16,Crisis/Bear
2023-06-19,Choppy/Neutral
2023-06-20,Choppy/Neutral
2023-06-21,Choppy/Neutral
2023-06-22,Choppy/Neutral
2023-06-23,Choppy/Neutral
2023-06-26,Choppy/Neutral
2023-06-27,Choppy/Neutral
2023-06-28,Choppy/Neutral
2023-06-29,Choppy/Neutral
2023-06-30,Choppy/Neutral
2023-07-03,Choppy/Neutral
2023-07-04,Choppy/Neutral
2023-07-05,Crisis/Bear
2023-07-06,Crisis/Bear
2023-07-07,Crisis/Bear
2023-07-10,Crisis/Bear
2023-07-11,Crisis/Bear
2023-07-12,Crisis/Bear
2023-07-13,Crisis/Bear
2023-07-14,Crisis/Bear
2023-07-17,Crisis/Bear
2023-07-18,Crisis/Bear
2023-07-19,Crisis/Bear
2023-07-20,Crisis/Bear
2023-07-21,Crisis/Bear
2023-07-24,Crisis/Bear
2023-07-25,Crisis/Bear
2023-07-26,Crisis/Bear
2023-07-27,Crisis/Bear
2023-07-28,Crisis/Bear
2023-07-31,Crisis/Bear
2023-08-01,Crisis/Bear
2023-08-02,Crisis/Bear
2023-08-03,Crisis/Bear
2023-08-04,Crisis/Bear
2023-08-07,Crisis/Bear
2023-08-08,Crisis/Bear
2023-08-09,Crisis/Bear
2023-08-10,Crisis/Bear
2023-08-11,Crisis/Bear
2023-08-14,Crisis/Bear
2023-08-15,Crisis/Bear
2023-08-16,Choppy/Neutral
2023-08-17,Choppy/Neutral
2023-08-18,Choppy/Neutral
2023-08-21,Choppy/Neutral
2023-08-22,Choppy/Neutral
2023-08-23,Choppy/Neutral
2023-08-24,Choppy/Neutral
2023-08-25,Choppy/Neutral
2023-08-28,Choppy/Neutral
2023-08-29,Choppy/Neutral
2023-08-30,Choppy/Neutral
2023-08-31,Choppy/Neutral
2023-09-01,Choppy/Neutral
2023-09-04,Choppy/Neutral
2023-09-05,Choppy/Neutral
2023-09-06,Calm Bull
2023-09-07,Calm Bull
2023-09-08,Calm Bull
2023-09-11,Calm Bull
2023-09-12,Calm Bull
2023-09-13,Calm Bull
2023-09-14,Calm Bull
2023-09-15,Calm Bull
2023-09-18,Calm Bull
2023-09-19,Calm Bull
2023-09-20,Calm Bull
2023-09-21,Calm Bull
2023-09-22,Calm Bull
2023-09-25,Calm Bull
2023-09-26,Calm Bull
2023-09-27,Calm Bull
2023-09-28,Calm Bull
2023-09-29,Calm Bull
2023-10-02,Calm Bull
2023-10-03,Crisis/Bear
2023-10-04,Crisis/Bear
2023-10-05,Calm Bull
2023-10-06,Calm Bull
2023-10-09,Calm Bull
2023-10-10,Calm Bull
2023-10-11,Calm Bull
2023-10-12,Calm Bull
2023-10-13,Calm Bull
2023-10-16,Calm Bull
2023-10-17,Calm Bull
2023-10-18,Calm Bull
2023-10-19,Calm Bull
2023-10-20,Calm Bull
2023-10-23,Calm Bull
2023-10-24,Calm Bull
2023-10-25,Calm Bull
2023-10-26,Calm Bull
2023-10-27,Calm Bull
2023-10-30,Calm Bull
2023-10-31,Calm Bull
2023-11-01,Calm Bull
2023-11-02,Calm Bull
2023-11-03,Calm Bull
2023-11-06,Calm Bull
2023-11-07,Calm Bull
2023-11-08,Calm Bull
2023-11-09,Calm Bull
2023-11-10,Calm Bull
2023-11-13,Calm Bull
2023-11-14,Calm Bull
2023-11-15,Calm Bull
2023-11-16,Calm Bull
2023-11-17,Calm Bull
2023-11-20,Choppy/Neutral
2023-11-21,Choppy/Neutral
2023-11-22,Choppy/Neutral
2023-11-23,Choppy/Neutral
2023-11-24,Choppy/Neutral
2023-11-27,Choppy/Neutral
2023-11-28,Choppy/Neutral
2023-11-29,Choppy/Neutral
2023-11-30,Choppy/Neutral
2023-12-01,Calm Bull
2023-12-04,Choppy/Neutral
2023-12-05,Calm Bull
2023-12-06,Calm Bull
2023-12-07,Crisis/Bear
2023-12-08,Crisis/Bear
2023-12-11,Crisis/Bear
2023-12-12,Crisis/Bear
2023-12-13,Choppy/Neutral
2023-12-14,Choppy/Neutral
2023-12-15,Choppy/Neutral
2023-12-18,Choppy/Neutral
2023-12-19,Choppy/Neutral
2023-12-20,Choppy/Neutral
2023-12-21,Choppy/Neutral
2023-12-22,Choppy/Neutral
2023-12-25,Choppy/Neutral
2023-12-26,Choppy/Neutral
2023-12-27,Crisis/Bear
2023-12-28,Crisis/Bear
2023-12-29,Choppy/Neutral
2024-01-01,Choppy/Neutral
2024-01-02,Choppy/Neutral
2024-01-03,Choppy/Neutral
2024-01-04,Choppy/Neutral
2024-01-05,Choppy/Neutral
2024-01-08,Choppy/Neutral
2024-01-09,Choppy/Neutral
2024-01-10,Choppy/Neutral
2024-01-11,Choppy/Neutral
2024-01-12,Choppy/Neutral
2024-01-15,Choppy/Neutral
2024-01-16,Choppy/Neutral
2024-01-17,Choppy/Neutral
2024-01-18,Choppy/Neutral
2024-01-19,Choppy/Neutral
2024-01-22,Choppy/Neutral
2024-01-23,Choppy/Neutral
2024-01-24,Choppy/Neutral
2024-01-25,Choppy/Neutral
2024-01-26,Choppy/Neutral
2024-01-29,Choppy/Neutral
2024-01-30,Choppy/Neutral
2024-01-31,Choppy/Neutral
2024-02-01,Choppy/Neutral
2024-02-02,Choppy/Neutral
2024-02-05,Choppy/Neutral
2024-02-06,Choppy/Neutral
2024-02-07,Choppy/Neutral
2024-02-08,Choppy/Neutral
2024-02-09,Choppy/Neutral
2024-02-12,Choppy/Neutral
2024-02-13,Choppy/Neutral
2024-02-14,Choppy/Neutral
2024-02-15,Choppy/Neutral
2024-02-16,Choppy/Neutral
2024-02-19,Choppy/Neutral
2024-02-20,Choppy/Neutral
2024-02-21,Choppy/Neutral
2024-02-22,Calm Bull
2024-02-23,Calm Bull
2024-02-26,Choppy/Neutral
2024-02-27,Choppy/Neutral
2024-02-28,Choppy/Neutral
2024-02-29,Choppy/Neutral
2024-03-01,Crisis/Bear
2024-03-04,Crisis/Bear
2024-03-05,Crisis/Bear
2024-03-06,Crisis/Bear
2024-03-07,Crisis/Bear
2024-03-08,Crisis/Bear
2024-03-11,Crisis/Bear
2024-03-12,Crisis/Bear
2024-03-13,Crisis/Bear
2024-03-14,Crisis/Bear
2024-03-15,Crisis/Bear
2024-03-18,Crisis/Bear
2024-03-19,Crisis/Bear
2024-03-20,Crisis/Bear
2024-03-21,Crisis/Bear
2024-03-22,Crisis/Bear
2024-03-25,Crisis/Bear
2024-03-26,Crisis/Bear
2024-03-27,Crisis/Bear
2024-03-28,Crisis/Bear
2024-03-29,Crisis/Bear
2024-04-01,Crisis/Bear
2024-04-02,Choppy/Neutral
2024-04-03,Crisis/Bear
2024-04-04,Choppy/Neutral
2024-04-05,Choppy/Neutral
2024-04-08,Choppy/Neutral
2024-04-09,Choppy/Neutral
2024-04-10,Choppy/Neutral
2024-04-11,Choppy/Neutral
2024-04-12,Choppy/Neutral
2024-04-15,Crisis/Bear
2024-04-16,Crisis/Bear
2024-04-17,Choppy/Neutral
2024-04-18,Choppy/Neutral
2024-04-19,Choppy/Neutral
2024-04-22,Choppy/Neutral
2024-04-23,Choppy/Neutral
2024-04-24,Choppy/Neutral
2024-04-25,Choppy/Neutral
2024-04-26,Choppy/Neutral
2024-04-29,Choppy/Neutral
2024-04-30,Choppy/Neutral
2024-05-01,Choppy/Neutral
2024-05-02,Choppy/Neutral
2024-05-03,Choppy/Neutral
2024-05-06,Choppy/Neutral
2024-05-07,Choppy/Neutral
2024-05-08,Choppy/Neutral
2024-05-09,Choppy/Neutral
2024-05-10,Choppy/Neutral
2024-05-13,Choppy/Neutral
2024-05-14,Choppy/Neutral
2024-05-15,Choppy/Neutral
2024-05-16,Choppy/Neutral
2024-05-17,Choppy/Neutral
2024-05-20,Choppy/Neutral
2024-05-21,Choppy/Neutral
2024-05-22,Choppy/Neutral
2024-05-23,Choppy/Neutral
2024-05-24,Choppy/Neutral
2024-05-27,Choppy/Neutral
2024-05-28,Choppy/Neutral
2024-05-29,Choppy/Neutral
2024-05-30,Choppy/Neutral
2024-05-31,Choppy/Neutral
2024-06-03,Choppy/Neutral
2024-06-04,Choppy/Neutral
2024-06-05,Choppy/Neutral
2024-06-06,Choppy/Neutral
2024-06-07,Choppy/Neutral
2024-06-10,Choppy/Neutral
2024-06-11,Crisis/Bear
2024-06-12,Choppy/Neutral
2024-06-13,Choppy/Neutral
2024-06-14,Choppy/Neutral
2024-06-17,Choppy/Neutral
2024-06-18,Choppy/Neutral
2024-06-19,Choppy/Neutral
2024-06-20,Choppy/Neutral
2024-06-21,Choppy/Neutral
2024-06-24,Choppy/Neutral
2024-06-25,Choppy/Neutral
2024-06-26,Choppy/Neutral
2024-06-27,Choppy/Neutral
2024-06-28,Choppy/Neutral
2024-07-01,Choppy/Neutral
2024-07-02,Choppy/Neutral
2024-07-03,Choppy/Neutral
2024-07-04,Choppy/Neutral
2024-07-05,Choppy/Neutral
2024-07-08,Choppy/Neutral
2024-07-09,Choppy/Neutral
2024-07-10,Choppy/Neutral
2024-07-11,Choppy/Neutral
2024-07-12,Choppy/Neutral
2024-07-15,Choppy/Neutral
2024-07-16,Choppy/Neutral
2024-07-17,Choppy/Neutral
2024-07-18,Choppy/Neutral
2024-07-19,Choppy/Neutral
2024-07-22,Choppy/Neutral
2024-07-23,Choppy/Neutral
2024-07-24,Choppy/Neutral
2024-07-25,Choppy/Neutral
2024-07-26,Choppy/Neutral
2024-07-29,Choppy/Neutral
2024-07-30,Choppy/Neutral
2024-07-31,Choppy/Neutral
